filename, language, JSON, Markdown, Properties, Ignore, JavaScript React, XML, HTML, SCSS, CSS, comment, blank, total
frontend\app\src\components\ChallengesGrid\ChallengeItem.js, JavaScript React, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
frontend\app\src\components\ChallengesGrid\MentorItem.js, JavaScript React, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
frontend\app\src\components\ChallengesGrid\index.js, JavaScript React, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 9, 80
frontend\app\src\components\ChallengesGrid\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 6, 126
frontend\app\src\components\ContactForm\index.js, JavaScript React, 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 21, 177
frontend\app\src\components\ContactForm\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 6, 30
frontend\app\src\components\DatesGrid\TimeItem.js, JavaScript React, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
frontend\app\src\components\DatesGrid\index.js, JavaScript React, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 4, 35
frontend\app\src\components\DatesGrid\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 3, 63
frontend\app\src\components\Divider\Divider.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
frontend\app\src\components\Divider\index.js, JavaScript React, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
frontend\app\src\components\EditorTools\index.js, JavaScript React, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 12, 61
frontend\app\src\components\EditorTools\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 8, 60
frontend\app\src\components\FaqGrid\FaqGridItem.js, JavaScript React, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 4, 49
frontend\app\src\components\FaqGrid\index.js, JavaScript React, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 8, 35
frontend\app\src\components\FaqGrid\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 11, 149
frontend\app\src\components\FooterImageButtons\index.js, JavaScript React, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 6, 45
frontend\app\src\components\FooterImageButtons\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 6, 58
frontend\app\src\components\Footer\index.js, JavaScript React, 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 9, 157
frontend\app\src\components\Footer\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 122, 0, 4, 26, 152
frontend\app\src\components\GradientLink\index.js, JavaScript React, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
frontend\app\src\components\GradientLink\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
frontend\app\src\components\Header\NavMenu\index.js, JavaScript React, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 14, 100
frontend\app\src\components\Header\NavMenu\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 101, 0, 1, 14, 116
frontend\app\src\components\Header\index.js, JavaScript React, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 11, 73
frontend\app\src\components\Header\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 11, 75
frontend\app\src\components\HeroCTA\index.js, JavaScript React, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 7, 51
frontend\app\src\components\HeroCTA\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 4, 40
frontend\app\src\components\HeroImage\index.js, JavaScript React, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 6, 48
frontend\app\src\components\HeroImage\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 68, 0, 1, 12, 81
frontend\app\src\components\ImageSection\index.js, JavaScript React, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
frontend\app\src\components\ImageSection\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 7, 76
frontend\app\src\components\Image\index.js, JavaScript React, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 9, 71
frontend\app\src\components\Image\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
frontend\app\src\components\LogoSpinner\index.js, JavaScript React, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 6, 29
frontend\app\src\components\LogoSpinner\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
frontend\app\src\components\Markdown\index.js, JavaScript React, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 11, 109
frontend\app\src\components\Markdown\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 8, 43
frontend\app\src\components\NewsLetterForm\index.js, JavaScript React, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 15, 118
frontend\app\src\components\NewsLetterForm\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
frontend\app\src\components\PartnersGrid\index.js, JavaScript React, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 10, 68
frontend\app\src\components\PartnersGrid\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 4, 35
frontend\app\src\components\ScrollToTop\index.js, JavaScript React, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
frontend\app\src\components\SingleColumnSection\index.js, JavaScript React, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
frontend\app\src\components\SingleColumnSection\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 2, 39
frontend\app\src\components\SocialMediaIcons\SocialmediaIcon.js, JavaScript React, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
frontend\app\src\components\SocialMediaIcons\index.js, JavaScript React, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 7, 31
frontend\app\src\components\SocialMediaIcons\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
frontend\app\src\components\StatBlocks\index.js, JavaScript React, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
frontend\app\src\components\StatBlocks\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
frontend\app\src\components\StylishContainer\index.js, JavaScript React, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
frontend\app\src\components\StylishContainer\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 2, 42
frontend\app\src\components\TeamMemberGrid\index.js, JavaScript React, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 11, 97
frontend\app\src\components\TeamMemberGrid\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 18, 119
frontend\app\src\components\TracksGrid\index.js, JavaScript React, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 8, 58
frontend\app\src\components\TracksGrid\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
frontend\app\src\components\Video\index.js, JavaScript React, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 9, 69
frontend\app\src\components\Video\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
frontend\app\src\components\inputs\DropDown\index.js, JavaScript React, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 6, 54
frontend\app\src\components\inputs\DropDown\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 6, 36
frontend\app\src\components\inputs\FormRow\index.js, JavaScript React, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
frontend\app\src\components\inputs\FormRow\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 4, 17
frontend\app\src\components\inputs\Form\index.js, JavaScript React, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 11, 73
frontend\app\src\components\inputs\Form\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 11, 74
frontend\app\src\components\inputs\InputError\index.js, JavaScript React, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
frontend\app\src\components\inputs\InputError\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
frontend\app\src\components\inputs\InputLabel\index.js, JavaScript React, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
frontend\app\src\components\inputs\InputLabel\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
frontend\app\src\components\inputs\RadioButtons\index.js, JavaScript React, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 5, 37
frontend\app\src\components\inputs\RadioButtons\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 10, 54
frontend\app\src\components\inputs\SubmitButton\index.js, JavaScript React, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
frontend\app\src\components\inputs\SubmitButton\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 6, 36
frontend\app\src\components\inputs\TextArea\index.js, JavaScript React, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
frontend\app\src\components\inputs\TextArea\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 6, 48
frontend\app\src\components\inputs\TextInput\index.js, JavaScript React, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
frontend\app\src\components\inputs\TextInput\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
frontend\app\src\config.js, JavaScript React, 0, 0, 0, 0, 13, 0, 0, 0, 0, 6, 4, 23
frontend\app\src\data\countries.json, JSON, 241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 242
frontend\app\src\fontello\css\animation.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 77, 3, 6, 86
frontend\app\src\fontello\css\fontello-codes.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
frontend\app\src\fontello\css\fontello-embedded.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 30, 19, 7, 56
frontend\app\src\fontello\css\fontello-ie7-codes.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
frontend\app\src\fontello\css\fontello-ie7.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 3, 14
frontend\app\src\fontello\css\fontello.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 30, 20, 9, 59
frontend\app\src\fontello\demo.html, HTML, 0, 0, 0, 0, 0, 0, 296, 0, 0, 0, 11, 307
frontend\app\src\fontello\font\fontello.svg, XML, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
frontend\app\src\hooks\formhooks.js, JavaScript React, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
frontend\app\src\index.js, JavaScript React, 0, 0, 0, 0, 44, 0, 0, 0, 0, 4, 10, 58
frontend\app\src\redux\configureStore.js, JavaScript React, 0, 0, 0, 0, 28, 0, 0, 0, 0, 2, 6, 36
frontend\app\src\redux\dynamiccontent\actionTypes.js, JavaScript React, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
frontend\app\src\redux\dynamiccontent\actions.js, JavaScript React, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 6, 29
frontend\app\src\redux\dynamiccontent\reducer.js, JavaScript React, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 4, 54
frontend\app\src\redux\dynamiccontent\selectors.js, JavaScript React, 0, 0, 0, 0, 93, 0, 0, 0, 0, 2, 15, 110
frontend\app\src\redux\rootReducer.js, JavaScript React, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 3, 14
frontend\app\src\redux\socialmedias\actionTypes.js, JavaScript React, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
frontend\app\src\redux\socialmedias\actions.js, JavaScript React, 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 3, 21
frontend\app\src\redux\socialmedias\reducer.js, JavaScript React, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
frontend\app\src\redux\socialmedias\selectors.js, JavaScript React, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 5, 22
frontend\app\src\redux\staticcontent\actionTypes.js, JavaScript React, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
frontend\app\src\redux\staticcontent\actions.js, JavaScript React, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
frontend\app\src\redux\staticcontent\helpers.js, JavaScript React, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
frontend\app\src\redux\staticcontent\reducer.js, JavaScript React, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 4, 61
frontend\app\src\redux\staticcontent\selectors.js, JavaScript React, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
frontend\app\src\serviceWorker.js, JavaScript React, 0, 0, 0, 0, 92, 0, 0, 0, 0, 31, 13, 136
frontend\app\src\services\axios.js, JavaScript React, 0, 0, 0, 0, 11, 0, 0, 0, 0, 7, 4, 22
frontend\app\src\services\contactrequests.js, JavaScript React, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
frontend\app\src\services\graphql\client.js, JavaScript React, 0, 0, 0, 0, 125, 0, 0, 0, 0, 3, 5, 133
frontend\app\src\services\newsletter.js, JavaScript React, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
frontend\app\src\services\socialmedias.js, JavaScript React, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 6, 20
frontend\app\src\styles\_buttons.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
frontend\app\src\styles\_colors.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 7, 41
frontend\app\src\styles\_fonts.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 8, 58
frontend\app\src\styles\_sizes.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 7, 45
frontend\app\src\styles\base.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 56, 0, 1, 12, 69
frontend\app\src\styles\variables.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
frontend\app\src\utils\logger.js, JavaScript React, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
frontend\app\src\utils\misc.js, JavaScript React, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 6, 65
frontend\app\src\utils\regex.js, JavaScript React, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 3, 13
frontend\package-lock.json, JSON, 1419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1420
frontend\package.json, JSON, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
frontend\server.js, JavaScript React, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 5, 24
package-lock.json, JSON, 508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 509
package.json, JSON, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
Total, -, 33867, 671, 13, 80, 3935, 110, 465, 2087, 149, 754, 1608, 43739